emisor;nombre_emisor;receptor;nombre_receptor;producto;color;tallas;codigo_producto;codigo_color;stock_inicial_receptor;stock_antes;aporte;stock_despues;cobertura_antes;cobertura_despues;url_foto
832;ECI MADRID GOYA;805;ECI SERRANO PRINCESA;261-DAHO;CAPERS;TL, TM, TS, TXS;1107197;1145;0;0.0;5.0;5.0;0;5;https://content.morgandetoi.fr/el-corte-ingles/1107197-1145-F.jpg
857;ECI VALLADOLID ZORRILLA;805;ECI SERRANO PRINCESA;261-DAHO;CAPERS;TM, TS, TXS;1107197;1145;0;5.0;3.0;8.0;5;8;https://content.morgandetoi.fr/el-corte-ingles/1107197-1145-F.jpg
803;ECI SANCHINARRO;1782;ECI CAMPO DE LAS NACIONES;261-DAHO;CAPERS;TL, TM, TS, TXS;1107197;1145;1;1.0;4.0;5.0;1;5;https://content.morgandetoi.fr/el-corte-ingles/1107197-1145-F.jpg
840;ECI BERCIAL;801;ECI PRECIADOS;261-DAHO;CAPERS;TL, TM, TS, TXS;1107197;1145;2;2.0;4.0;6.0;2;6;https://content.morgandetoi.fr/el-corte-ingles/1107197-1145-F.jpg
2020;ECI SALAMANCA;869;ECI ALCALA DE HENARES;261-DAHO;CAPERS;TL, TM, TS, TXS;1107197;1145;2;2.0;4.0;6.0;2;6;https://content.morgandetoi.fr/el-corte-ingles/1107197-1145-F.jpg
2020;ECI SALAMANCA;801;ECI PRECIADOS;261-RAYEE;PALE BANANA;T34, T36, T38, T40, T42;1105806;1144;1;1.0;5.0;6.0;1;6;https://content.morgandetoi.fr/el-corte-ingles/1105806-1144-F.jpg
806;ECI POZUELO;805;ECI SERRANO PRINCESA;252-RMARMAI;HAVANE M;TL, TM, TXS;1102606;1105;1;1.0;5.0;6.0;1;6;#
2020;ECI SALAMANCA;803;ECI SANCHINARRO;252-RMARMAI;HAVANE M;TL, TM, TS, TXS;1102606;1105;1;1.0;4.0;5.0;1;5;#
869;ECI ALCALA DE HENARES;803;ECI SANCHINARRO;261-DIANA;BUTTER M;TL, TS, TXS;1104721;1191;2;2.0;3.0;5.0;2;5;https://content.morgandetoi.fr/el-corte-ingles/1104721-1191-F.jpg
857;ECI VALLADOLID ZORRILLA;803;ECI SANCHINARRO;261-DIANA;BUTTER M;TS, TXS;1104721;1191;2;5.0;3.0;8.0;5;8;https://content.morgandetoi.fr/el-corte-ingles/1104721-1191-F.jpg
805;ECI SERRANO PRINCESA;832;ECI MADRID GOYA;261-DIANA;BUTTER M;TM, TS;1104721;1191;5;5.0;2.0;7.0;5;7;https://content.morgandetoi.fr/el-corte-ingles/1104721-1191-F.jpg
1782;ECI CAMPO DE LAS NACIONES;832;ECI MADRID GOYA;261-DIANA;BUTTER M;TL;1104721;1191;5;7.0;1.0;8.0;7;8;https://content.morgandetoi.fr/el-corte-ingles/1104721-1191-F.jpg
2020;ECI SALAMANCA;840;ECI BERCIAL;261-DIANA;BUTTER M;TM, TXS;1104721;1191;1;1.0;2.0;3.0;1;3;https://content.morgandetoi.fr/el-corte-ingles/1104721-1191-F.jpg
2094;ECI SAN JOSÉ VALDERAS;840;ECI BERCIAL;261-DIANA;BUTTER M;TXS;1104721;1191;1;3.0;1.0;4.0;3;4;https://content.morgandetoi.fr/el-corte-ingles/1104721-1191-F.jpg
845;ECI XANADU;840;ECI BERCIAL;261-DIANA;BUTTER M;TS;1104721;1191;1;4.0;1.0;5.0;4;5;https://content.morgandetoi.fr/el-corte-ingles/1104721-1191-F.jpg
801;ECI PRECIADOS;803;ECI SANCHINARRO;261-DARIA;NOIR M;TL, TM, TS, TXS;1106896;979;1;1.0;4.0;5.0;1;5;#
840;ECI BERCIAL;803;ECI SANCHINARRO;261-DARIA;NOIR M;TM, TS, TXS;1106896;979;1;5.0;3.0;8.0;5;8;#
2020;ECI SALAMANCA;845;ECI XANADU;261-DARIA;NOIR M;TM, TXS;1106896;979;1;1.0;2.0;3.0;1;3;#
806;ECI POZUELO;845;ECI XANADU;261-DARIA;NOIR M;TL;1106896;979;1;3.0;1.0;4.0;3;4;#
857;ECI VALLADOLID ZORRILLA;2094;ECI SAN JOSÉ VALDERAS;261-CAYEL;PALE BANANA;T34, T36, T38, T40, T42;1105789;1144;1;1.0;5.0;6.0;1;6;https://content.morgandetoi.fr/el-corte-ingles/1105789-1144-F.jpg
832;ECI MADRID GOYA;2094;ECI SAN JOSÉ VALDERAS;261-CAYEL;PALE BANANA;T36, T42;1105789;1144;1;6.0;2.0;8.0;6;8;https://content.morgandetoi.fr/el-corte-ingles/1105789-1144-F.jpg
2020;ECI SALAMANCA;806;ECI POZUELO;261-CAYEL;PALE BANANA;T34, T36, T38, T40, T42;1105789;1144;3;3.0;5.0;8.0;3;8;https://content.morgandetoi.fr/el-corte-ingles/1105789-1144-F.jpg
845;ECI XANADU;801;ECI PRECIADOS;261-CAYEL;PALE BANANA;T34, T36, T38, T40;1105789;1144;1;1.0;4.0;5.0;1;5;https://content.morgandetoi.fr/el-corte-ingles/1105789-1144-F.jpg
832;ECI MADRID GOYA;845;ECI XANADU;261-PAVO.F;NOIR M;T36, T38, T42;1105688;979;3;3.0;4.0;7.0;3;7;https://content.morgandetoi.fr/el-corte-ingles/1105688-979-F.jpg
805;ECI SERRANO PRINCESA;845;ECI XANADU;261-PAVO.F;NOIR M;T38;1105688;979;3;7.0;1.0;8.0;7;8;https://content.morgandetoi.fr/el-corte-ingles/1105688-979-F.jpg
803;ECI SANCHINARRO;840;ECI BERCIAL;261-PAVO.F;NOIR M;T36, T38, T40, T42;1105688;979;0;0.0;4.0;4.0;0;4;https://content.morgandetoi.fr/el-corte-ingles/1105688-979-F.jpg
869;ECI ALCALA DE HENARES;840;ECI BERCIAL;261-PAVO.F;NOIR M;T38, T40, T42;1105688;979;0;4.0;4.0;8.0;4;8;https://content.morgandetoi.fr/el-corte-ingles/1105688-979-F.jpg
806;ECI POZUELO;2020;ECI SALAMANCA;261-PAVO.F;NOIR M;T42;1105688;979;1;1.0;1.0;2.0;1;2;https://content.morgandetoi.fr/el-corte-ingles/1105688-979-F.jpg
832;ECI MADRID GOYA;869;ECI ALCALA DE HENARES;241-ROSLI;PALE BANANA;T38;99078;1144;1;1.0;1.0;2.0;1;2;#
2094;ECI SAN JOSÉ VALDERAS;801;ECI PRECIADOS;261-RVENICE;MAGMA M;T34, T36, T42;1105827;1023;3;3.0;5.0;8.0;3;8;https://content.morgandetoi.fr/el-corte-ingles/1105827-1023-F.jpg
805;ECI SERRANO PRINCESA;869;ECI ALCALA DE HENARES;261-RVENICE;MAGMA M;T36, T38;1105827;1023;3;3.0;2.0;5.0;3;5;https://content.morgandetoi.fr/el-corte-ingles/1105827-1023-F.jpg
803;ECI SANCHINARRO;806;ECI POZUELO;261-DAINA;OFF WHITE/CARAIBE M;TL, TM, TS, TXS;1107216;1084;2;2.0;5.0;7.0;2;7;https://content.morgandetoi.fr/el-corte-ingles/1107216-1084-F.jpg
832;ECI MADRID GOYA;801;ECI PRECIADOS;261-DAINA;OFF WHITE/CARAIBE M;TL, TM, TS, TXS;1107216;1084;4;4.0;4.0;8.0;4;8;https://content.morgandetoi.fr/el-corte-ingles/1107216-1084-F.jpg
840;ECI BERCIAL;869;ECI ALCALA DE HENARES;261-DAINA;OFF WHITE/CARAIBE M;TL, TM, TS, TXS;1107216;1084;2;2.0;4.0;6.0;2;6;https://content.morgandetoi.fr/el-corte-ingles/1107216-1084-F.jpg
832;ECI MADRID GOYA;840;ECI BERCIAL;261-OPON;OFF WHITE M;T34, T36, T38;1105786;931;2;2.0;3.0;5.0;2;5;https://content.morgandetoi.fr/el-corte-ingles/1105786-931-F.jpg
1782;ECI CAMPO DE LAS NACIONES;840;ECI BERCIAL;261-OPON;OFF WHITE M;T36;1105786;931;2;5.0;1.0;6.0;5;6;https://content.morgandetoi.fr/el-corte-ingles/1105786-931-F.jpg
2020;ECI SALAMANCA;840;ECI BERCIAL;261-OPON;OFF WHITE M;T40;1105786;931;2;6.0;1.0;7.0;6;7;https://content.morgandetoi.fr/el-corte-ingles/1105786-931-F.jpg
2094;ECI SAN JOSÉ VALDERAS;832;ECI MADRID GOYA;261-RABLAI;JEAN STONE;T34, T36, T40, T42;1105819;308;2;2.0;5.0;7.0;2;7;https://content.morgandetoi.fr/el-corte-ingles/1105819-308-F.jpg
869;ECI ALCALA DE HENARES;806;ECI POZUELO;261-RABLAI;JEAN STONE;T34, T36, T38, T40;1105819;308;2;2.0;4.0;6.0;2;6;https://content.morgandetoi.fr/el-corte-ingles/1105819-308-F.jpg
845;ECI XANADU;840;ECI BERCIAL;261-RABLAI;JEAN STONE;T34, T36, T40;1105819;308;1;1.0;3.0;4.0;1;4;https://content.morgandetoi.fr/el-corte-ingles/1105819-308-F.jpg
840;ECI BERCIAL;803;ECI SANCHINARRO;261-DSUNNY;OFF WHITE M;TL, TM, TXS;1105767;931;4;4.0;3.0;7.0;4;7;https://content.morgandetoi.fr/el-corte-ingles/1105767-931-F.jpg
2094;ECI SAN JOSÉ VALDERAS;803;ECI SANCHINARRO;261-DSUNNY;OFF WHITE M;TL;1105767;931;4;7.0;1.0;8.0;7;8;https://content.morgandetoi.fr/el-corte-ingles/1105767-931-F.jpg
805;ECI SERRANO PRINCESA;801;ECI PRECIADOS;261-DSUNNY;OFF WHITE M;TL, TXS;1105767;931;0;0.0;2.0;2.0;0;2;https://content.morgandetoi.fr/el-corte-ingles/1105767-931-F.jpg
1782;ECI CAMPO DE LAS NACIONES;801;ECI PRECIADOS;261-DSUNNY;OFF WHITE M;TM, TXS;1105767;931;0;2.0;2.0;4.0;2;4;https://content.morgandetoi.fr/el-corte-ingles/1105767-931-F.jpg
845;ECI XANADU;801;ECI PRECIADOS;261-DSUNNY;OFF WHITE M;TS, TXS;1105767;931;0;4.0;2.0;6.0;4;6;https://content.morgandetoi.fr/el-corte-ingles/1105767-931-F.jpg
857;ECI VALLADOLID ZORRILLA;801;ECI PRECIADOS;261-DSUNNY;OFF WHITE M;TL, TM;1105767;931;0;6.0;2.0;8.0;6;8;https://content.morgandetoi.fr/el-corte-ingles/1105767-931-F.jpg
1782;ECI CAMPO DE LAS NACIONES;803;ECI SANCHINARRO;261-OSAJE;NOIR M;T42;1105793;979;5;5.0;1.0;6.0;3;3;https://content.morgandetoi.fr/el-corte-ingles/1105793-979-F.jpg
805;ECI SERRANO PRINCESA;803;ECI SANCHINARRO;261-OSAJE;NOIR M;T42;1105793;979;5;6.0;1.0;7.0;3;4;https://content.morgandetoi.fr/el-corte-ingles/1105793-979-F.jpg
832;ECI MADRID GOYA;803;ECI SANCHINARRO;261-DIANA;MARINE M;TL, TM, TS, TXS;1104721;987;1;1.0;8.0;9.0;1;4;https://content.morgandetoi.fr/el-corte-ingles/1104721-987-F.jpg
857;ECI VALLADOLID ZORRILLA;803;ECI SANCHINARRO;261-DIANA;MARINE M;TL, TS, TXS;1104721;987;1;9.0;3.0;12.0;4;6;https://content.morgandetoi.fr/el-corte-ingles/1104721-987-F.jpg
801;ECI PRECIADOS;803;ECI SANCHINARRO;261-DIANA;MARINE M;TS, TXS;1104721;987;1;12.0;2.0;14.0;6;7;https://content.morgandetoi.fr/el-corte-ingles/1104721-987-F.jpg
2094;ECI SAN JOSÉ VALDERAS;803;ECI SANCHINARRO;261-DIANA;MARINE M;TM, TXS;1104721;987;1;14.0;2.0;16.0;7;8;https://content.morgandetoi.fr/el-corte-ingles/1104721-987-F.jpg
845;ECI XANADU;805;ECI SERRANO PRINCESA;261-DIANA;MARINE M;TL, TXS;1104721;987;1;1.0;2.0;3.0;1;3;https://content.morgandetoi.fr/el-corte-ingles/1104721-987-F.jpg
806;ECI POZUELO;805;ECI SERRANO PRINCESA;261-DIANA;MARINE M;TXS;1104721;987;1;3.0;1.0;4.0;3;4;https://content.morgandetoi.fr/el-corte-ingles/1104721-987-F.jpg
1782;ECI CAMPO DE LAS NACIONES;805;ECI SERRANO PRINCESA;261-DIANA;MARINE M;TS;1104721;987;1;4.0;1.0;5.0;4;5;https://content.morgandetoi.fr/el-corte-ingles/1104721-987-F.jpg
801;ECI PRECIADOS;803;ECI SANCHINARRO;261-JOVEN;BUBBLE M;T34, T36, T42;1105746;1166;2;2.0;4.0;6.0;2;6;https://content.morgandetoi.fr/el-corte-ingles/1105746-1166-F.jpg
869;ECI ALCALA DE HENARES;803;ECI SANCHINARRO;261-JOVEN;BUBBLE M;T34, T40;1105746;1166;2;6.0;2.0;8.0;6;8;https://content.morgandetoi.fr/el-corte-ingles/1105746-1166-F.jpg
2020;ECI SALAMANCA;832;ECI MADRID GOYA;261-JOVEN;BUBBLE M;T42;1105746;1166;0;0.0;1.0;1.0;0;1;https://content.morgandetoi.fr/el-corte-ingles/1105746-1166-F.jpg
869;ECI ALCALA DE HENARES;803;ECI SANCHINARRO;261-ROVITA;MULTICO;T36, T38, T40, T42;1104817;900;2;2.0;5.0;7.0;2;7;https://content.morgandetoi.fr/el-corte-ingles/1104817-900-F.jpg
806;ECI POZUELO;803;ECI SANCHINARRO;261-ROVITA;MULTICO;T36;1104817;900;2;7.0;1.0;8.0;7;8;https://content.morgandetoi.fr/el-corte-ingles/1104817-900-F.jpg
2020;ECI SALAMANCA;840;ECI BERCIAL;261-ROVITA;MULTICO;T36, T40;1104817;900;4;4.0;2.0;6.0;4;6;https://content.morgandetoi.fr/el-corte-ingles/1104817-900-F.jpg
2020;ECI SALAMANCA;845;ECI XANADU;261-RLOUNA;FIG;T34, T36, T38, T40;1104858;1160;1;1.0;5.0;6.0;1;6;https://content.morgandetoi.fr/el-corte-ingles/1104858-1160-F.jpg
840;ECI BERCIAL;845;ECI XANADU;261-RLOUNA;FIG;T38;1104858;1160;1;6.0;2.0;8.0;6;8;https://content.morgandetoi.fr/el-corte-ingles/1104858-1160-F.jpg
805;ECI SERRANO PRINCESA;806;ECI POZUELO;261-RLOUNA;FIG;T38;1104858;1160;1;1.0;1.0;2.0;1;2;https://content.morgandetoi.fr/el-corte-ingles/1104858-1160-F.jpg
801;ECI PRECIADOS;806;ECI POZUELO;261-RLOUNA;FIG;T36;1104858;1160;1;2.0;1.0;3.0;2;3;https://content.morgandetoi.fr/el-corte-ingles/1104858-1160-F.jpg
832;ECI MADRID GOYA;806;ECI POZUELO;261-RLOUNA;FIG;T36;1104858;1160;1;3.0;1.0;4.0;3;4;https://content.morgandetoi.fr/el-corte-ingles/1104858-1160-F.jpg
2094;ECI SAN JOSÉ VALDERAS;806;ECI POZUELO;261-RLOUNA;FIG;T34;1104858;1160;1;4.0;1.0;5.0;4;5;https://content.morgandetoi.fr/el-corte-ingles/1104858-1160-F.jpg
857;ECI VALLADOLID ZORRILLA;806;ECI POZUELO;261-RLOUNA;FIG;T38;1104858;1160;1;5.0;1.0;6.0;5;6;https://content.morgandetoi.fr/el-corte-ingles/1104858-1160-F.jpg
2094;ECI SAN JOSÉ VALDERAS;832;ECI MADRID GOYA;261-RELOW;NOIR M;T34, T36, T38, T40, T42;1105804;979;1;1.0;5.0;6.0;1;6;https://content.morgandetoi.fr/el-corte-ingles/1105804-979-F.jpg
2094;ECI SAN JOSÉ VALDERAS;832;ECI MADRID GOYA;261-RDALA.F;MULTICO;T34, T36, T38, T40, T42;1105825;900;0;0.0;6.0;6.0;0;6;https://content.morgandetoi.fr/el-corte-ingles/1105825-900-F.jpg
2094;ECI SAN JOSÉ VALDERAS;832;ECI MADRID GOYA;241-DAGA;PALE BANANA;TM, TXS;98032;1144;1;1.0;2.0;3.0;1;3;#
869;ECI ALCALA DE HENARES;832;ECI MADRID GOYA;241-DAGA;PALE BANANA;TL, TS;98032;1144;1;3.0;2.0;5.0;3;5;#
840;ECI BERCIAL;803;ECI SANCHINARRO;261-DSET;MULTICO;TL, TM, TS, TXS;1106524;900;6;6.0;4.0;10.0;2;3;https://content.morgandetoi.fr/el-corte-ingles/1106524-900-F.jpg
801;ECI PRECIADOS;806;ECI POZUELO;261-MCARDI;OFF WHITE M;TL, TM, TS, TXS;1105695;931;2;2.0;5.0;7.0;2;7;https://content.morgandetoi.fr/el-corte-ingles/1105695-931-F.jpg
1782;ECI CAMPO DE LAS NACIONES;803;ECI SANCHINARRO;261-MCARDI;OFF WHITE M;TL, TM, TS, TXS;1105695;931;4;4.0;4.0;8.0;4;8;https://content.morgandetoi.fr/el-corte-ingles/1105695-931-F.jpg
2094;ECI SAN JOSÉ VALDERAS;840;ECI BERCIAL;261-MCARDI;OFF WHITE M;TL, TM, TS, TXS;1105695;931;2;2.0;4.0;6.0;2;6;https://content.morgandetoi.fr/el-corte-ingles/1105695-931-F.jpg
857;ECI VALLADOLID ZORRILLA;840;ECI BERCIAL;261-MCARDI;OFF WHITE M;TM, TS;1105695;931;2;6.0;2.0;8.0;6;8;https://content.morgandetoi.fr/el-corte-ingles/1105695-931-F.jpg
805;ECI SERRANO PRINCESA;845;ECI XANADU;261-MCARDI;OFF WHITE M;TL, TM, TS;1105695;931;2;2.0;3.0;5.0;2;5;https://content.morgandetoi.fr/el-corte-ingles/1105695-931-F.jpg
869;ECI ALCALA DE HENARES;845;ECI XANADU;261-MCARDI;OFF WHITE M;TM, TS, TXS;1105695;931;2;5.0;3.0;8.0;5;8;https://content.morgandetoi.fr/el-corte-ingles/1105695-931-F.jpg
840;ECI BERCIAL;806;ECI POZUELO;251-DMATY;OFF WHITE M;TM, TS, TXS;1102161;931;2;2.0;3.0;5.0;2;5;#
803;ECI SANCHINARRO;806;ECI POZUELO;251-DMATY;OFF WHITE M;TM, TS;1102161;931;2;5.0;2.0;7.0;5;7;#
801;ECI PRECIADOS;806;ECI POZUELO;251-DMATY;OFF WHITE M;TXS;1102161;931;2;7.0;1.0;8.0;7;8;#
857;ECI VALLADOLID ZORRILLA;845;ECI XANADU;251-DMATY;OFF WHITE M;TXS;1102161;931;1;1.0;1.0;2.0;1;2;#
869;ECI ALCALA DE HENARES;832;ECI MADRID GOYA;251-DALBA;BUBBLE M;TL, TM, TXS;1102198;1166;2;2.0;6.0;8.0;2;8;#
805;ECI SERRANO PRINCESA;803;ECI SANCHINARRO;251-DALBA;BUBBLE M;TL, TM, TS;1102198;1166;4;4.0;4.0;8.0;4;8;#
2094;ECI SAN JOSÉ VALDERAS;840;ECI BERCIAL;251-DALBA;BUBBLE M;TM;1102198;1166;5;5.0;1.0;6.0;5;6;#
2020;ECI SALAMANCA;840;ECI BERCIAL;251-DALBA;BUBBLE M;TM;1102198;1166;5;6.0;1.0;7.0;6;7;#
845;ECI XANADU;806;ECI POZUELO;251-DALBA;BUBBLE M;TM, TS, TXS;1102198;1166;2;2.0;4.0;6.0;2;6;#
801;ECI PRECIADOS;2094;ECI SAN JOSÉ VALDERAS;261-DIVA;MARINE/OFF WHITE;TL, TM, TS, TXS;1104722;926;0;0.0;5.0;5.0;0;5;https://content.morgandetoi.fr/el-corte-ingles/1104722-926-F.jpg
869;ECI ALCALA DE HENARES;2094;ECI SAN JOSÉ VALDERAS;261-DIVA;MARINE/OFF WHITE;TM, TS;1104722;926;0;5.0;2.0;7.0;5;7;https://content.morgandetoi.fr/el-corte-ingles/1104722-926-F.jpg
805;ECI SERRANO PRINCESA;840;ECI BERCIAL;261-DIVA;MARINE/OFF WHITE;TL, TM, TS, TXS;1104722;926;1;1.0;4.0;5.0;1;5;https://content.morgandetoi.fr/el-corte-ingles/1104722-926-F.jpg
2020;ECI SALAMANCA;840;ECI BERCIAL;261-DIVA;MARINE/OFF WHITE;TL, TXS;1104722;926;1;5.0;2.0;7.0;5;7;https://content.morgandetoi.fr/el-corte-ingles/1104722-926-F.jpg
803;ECI SANCHINARRO;857;ECI VALLADOLID ZORRILLA;261-DIVA;MARINE/OFF WHITE;TL, TM;1104722;926;4;4.0;4.0;8.0;4;8;https://content.morgandetoi.fr/el-corte-ingles/1104722-926-F.jpg
801;ECI PRECIADOS;806;ECI POZUELO;261-RFLAM;WARM TAUPE;T38;1104823;1155;7;7.0;1.0;8.0;7;8;https://content.morgandetoi.fr/el-corte-ingles/1104823-1155-F.jpg
869;ECI ALCALA DE HENARES;803;ECI SANCHINARRO;261-RFLAM;WARM TAUPE;T34, T36, T40;1104823;1155;2;2.0;4.0;6.0;2;6;https://content.morgandetoi.fr/el-corte-ingles/1104823-1155-F.jpg
832;ECI MADRID GOYA;803;ECI SANCHINARRO;261-RFLAM;WARM TAUPE;T36, T40;1104823;1155;2;6.0;2.0;8.0;6;8;https://content.morgandetoi.fr/el-corte-ingles/1104823-1155-F.jpg
857;ECI VALLADOLID ZORRILLA;840;ECI BERCIAL;261-RFLAM;WARM TAUPE;T34, T36, T38, T40;1104823;1155;2;2.0;4.0;6.0;2;6;https://content.morgandetoi.fr/el-corte-ingles/1104823-1155-F.jpg
805;ECI SERRANO PRINCESA;840;ECI BERCIAL;261-RFLAM;WARM TAUPE;T40, T42;1104823;1155;2;6.0;2.0;8.0;6;8;https://content.morgandetoi.fr/el-corte-ingles/1104823-1155-F.jpg
1782;ECI CAMPO DE LAS NACIONES;2094;ECI SAN JOSÉ VALDERAS;261-RFLAM;WARM TAUPE;T34, T36, T42;1104823;1155;3;3.0;3.0;6.0;3;6;https://content.morgandetoi.fr/el-corte-ingles/1104823-1155-F.jpg
2020;ECI SALAMANCA;2094;ECI SAN JOSÉ VALDERAS;261-RFLAM;WARM TAUPE;T42;1104823;1155;3;6.0;1.0;7.0;6;7;https://content.morgandetoi.fr/el-corte-ingles/1104823-1155-F.jpg
801;ECI PRECIADOS;803;ECI SANCHINARRO;261-POMA.F;OFF WHITE M;T34, T36, T38, T40, T42;1105748;931;2;2.0;6.0;8.0;2;8;https://content.morgandetoi.fr/el-corte-ingles/1105748-931-F.jpg
857;ECI VALLADOLID ZORRILLA;803;ECI SANCHINARRO;261-RSOAN;MULTICO;T38, T40;1105805;900;7;7.0;3.0;10.0;4;5;https://content.morgandetoi.fr/el-corte-ingles/1105805-900-F.jpg
2020;ECI SALAMANCA;803;ECI SANCHINARRO;261-RSOAN;MULTICO;T34, T36, T42;1105805;900;7;10.0;3.0;13.0;5;6;https://content.morgandetoi.fr/el-corte-ingles/1105805-900-F.jpg
1782;ECI CAMPO DE LAS NACIONES;803;ECI SANCHINARRO;261-RSOAN;MULTICO;T38, T42;1105805;900;7;13.0;2.0;15.0;6;8;https://content.morgandetoi.fr/el-corte-ingles/1105805-900-F.jpg
840;ECI BERCIAL;2094;ECI SAN JOSÉ VALDERAS;251-DOMANI;IVOIRE;TL, TXS;101368;203;1;1.0;3.0;4.0;1;4;#
832;ECI MADRID GOYA;2094;ECI SAN JOSÉ VALDERAS;251-DOMANI;IVOIRE;TL, TS, TXS;101368;203;1;4.0;3.0;7.0;4;7;#
806;ECI POZUELO;2094;ECI SAN JOSÉ VALDERAS;251-DOMANI;IVOIRE;TXS;101368;203;1;7.0;1.0;8.0;7;8;#
805;ECI SERRANO PRINCESA;857;ECI VALLADOLID ZORRILLA;251-DOMANI;IVOIRE;TL, TS, TXS;101368;203;1;1.0;3.0;4.0;1;4;#
803;ECI SANCHINARRO;857;ECI VALLADOLID ZORRILLA;251-DOMANI;IVOIRE;TM, TS;101368;203;1;4.0;3.0;7.0;4;7;#
801;ECI PRECIADOS;1782;ECI CAMPO DE LAS NACIONES;251-DOMANI;IVOIRE;TS;101368;203;2;2.0;2.0;4.0;2;4;#
869;ECI ALCALA DE HENARES;1782;ECI CAMPO DE LAS NACIONES;251-DOMANI;IVOIRE;TM, TS;101368;203;2;4.0;2.0;6.0;4;6;#
845;ECI XANADU;1782;ECI CAMPO DE LAS NACIONES;251-DOMANI;IVOIRE;TM, TXS;101368;203;2;6.0;2.0;8.0;6;8;#
805;ECI SERRANO PRINCESA;869;ECI ALCALA DE HENARES;251-VCHARME;JEAN DOUBLE STONE;T34, T40, T42;101332;307;5;5.0;3.0;8.0;5;8;#
801;ECI PRECIADOS;806;ECI POZUELO;251-VCHARME;JEAN DOUBLE STONE;T36, T40, T42;101332;307;1;1.0;4.0;5.0;1;5;#
840;ECI BERCIAL;806;ECI POZUELO;251-VCHARME;JEAN DOUBLE STONE;T34, T36, T42;101332;307;1;5.0;3.0;8.0;5;8;#
832;ECI MADRID GOYA;2094;ECI SAN JOSÉ VALDERAS;251-VCHARME;JEAN DOUBLE STONE;T36, T38, T40;101332;307;2;2.0;4.0;6.0;2;6;#
845;ECI XANADU;2094;ECI SAN JOSÉ VALDERAS;251-VCHARME;JEAN DOUBLE STONE;T36, T40;101332;307;2;6.0;2.0;8.0;6;8;#
857;ECI VALLADOLID ZORRILLA;1782;ECI CAMPO DE LAS NACIONES;251-VCHARME;JEAN DOUBLE STONE;T38, T42;101332;307;4;4.0;3.0;7.0;4;7;#
857;ECI VALLADOLID ZORRILLA;806;ECI POZUELO;261-RMARIUS;BUTTER M;TL, TM, TS, TXS;1104872;1191;1;1.0;7.0;8.0;1;8;https://content.morgandetoi.fr/el-corte-ingles/1104872-1191-F.jpg
803;ECI SANCHINARRO;2094;ECI SAN JOSÉ VALDERAS;251-DMATY;BUBBLE M;TL;1102161;1166;3;3.0;2.0;5.0;3;5;#
806;ECI POZUELO;2094;ECI SAN JOSÉ VALDERAS;251-DMATY;BUBBLE M;TM;1102161;1166;3;5.0;1.0;6.0;5;6;#
1782;ECI CAMPO DE LAS NACIONES;2094;ECI SAN JOSÉ VALDERAS;251-DMATY;BUBBLE M;TXS;1102161;1166;3;6.0;1.0;7.0;6;7;#
857;ECI VALLADOLID ZORRILLA;2094;ECI SAN JOSÉ VALDERAS;251-DMATY;BUBBLE M;TS;1102161;1166;3;7.0;1.0;8.0;7;8;#
832;ECI MADRID GOYA;803;ECI SANCHINARRO;261-DICLA;OFF WHITE M;TM, TXS;1104783;931;6;6.0;2.0;8.0;6;8;https://content.morgandetoi.fr/el-corte-ingles/1104783-931-F.jpg
801;ECI PRECIADOS;857;ECI VALLADOLID ZORRILLA;261-DICLA;OFF WHITE M;TL, TM, TXL;1104783;931;0;0.0;7.0;7.0;0;7;https://content.morgandetoi.fr/el-corte-ingles/1104783-931-F.jpg
806;ECI POZUELO;857;ECI VALLADOLID ZORRILLA;261-DICLA;OFF WHITE M;TXS;1104783;931;0;7.0;1.0;8.0;7;8;https://content.morgandetoi.fr/el-corte-ingles/1104783-931-F.jpg
840;ECI BERCIAL;869;ECI ALCALA DE HENARES;261-DICLA;OFF WHITE M;TL, TS;1104783;931;1;1.0;2.0;3.0;1;3;https://content.morgandetoi.fr/el-corte-ingles/1104783-931-F.jpg
2094;ECI SAN JOSÉ VALDERAS;869;ECI ALCALA DE HENARES;261-DICLA;OFF WHITE M;TS, TXS;1104783;931;1;3.0;2.0;5.0;3;5;https://content.morgandetoi.fr/el-corte-ingles/1104783-931-F.jpg
2020;ECI SALAMANCA;869;ECI ALCALA DE HENARES;261-DICLA;OFF WHITE M;TS, TXS;1104783;931;1;5.0;2.0;7.0;5;7;https://content.morgandetoi.fr/el-corte-ingles/1104783-931-F.jpg
1782;ECI CAMPO DE LAS NACIONES;869;ECI ALCALA DE HENARES;261-DICLA;OFF WHITE M;TL;1104783;931;1;7.0;1.0;8.0;7;8;https://content.morgandetoi.fr/el-corte-ingles/1104783-931-F.jpg
832;ECI MADRID GOYA;840;ECI BERCIAL;261-DOOTHY;NOIR M;TL, TM, TS, TXS;1107198;979;1;1.0;7.0;8.0;1;8;https://content.morgandetoi.fr/el-corte-ingles/1107198-979-F.jpg
2020;ECI SALAMANCA;801;ECI PRECIADOS;261-DOOTHY;NOIR M;TS, TXS;1107198;979;2;2.0;2.0;4.0;2;4;https://content.morgandetoi.fr/el-corte-ingles/1107198-979-F.jpg
