TEMPORADA;COLLECTION;FAMILIA;CODEPRODUIT;CODECOLORIS;NOMPRODUIT;LIBCOLORISMODIFIE;SEMANAS_IMPLANTACION;CANTIDAD_VENDIDA;SEMANAS_COBERTURA;CANTIDAD_DISPONIBLE_CENTROS;CANTIDAD_DISPONIBLE_ALMACENES
E26;MODE;Pull;1105699;929;261-MLOSI;NOIR/IVOIRE;9;31;8;209;53
E26;ESSENTIELS;Robe/ combinaison;1102137;979;251-RIA;NOIR M;6;31;12;330;299
E26;ESSENTIELS;Robe/ combinaison;1102222;1204;251-REINE1;MYRTILLE M;9;31;7;205;0
E26;ESSENTIELS;Haut boutonné;98443;1200;241-OROOVE;NAVAL ACADEMY;7;30;12;347;294
E26;MODE;Robe / Tricot;1105701;979;261-RMAGO;NOIR M;11;30;4;105;0
E26;ESSENTIELS;Robe/ combinaison;1105800;1023;261-RPLISSY;MAGMA M;10;29;9;255;71
E26;ESSENTIELS;T-shirt;1102198;1166;251-DALBA;BUBBLE M;10;29;8;219;0
E26;MODE;T-shirt;1105706;1191;261-DEFI;BUTTER M;8;29;11;290;23
E26;ESSENTIELS;Jupe;1105757;993;261-JITAMI;DENIM STONE;12;28;12;296;178
E26;MODE;Robe/ combinaison;1105826;1118;261-RBRUM;EPICE M;9;28;5;139;0
E26;MODE;Robe/ combinaison;1107233;100;261-RSAMYA;NOIR;5;28;8;209;131
E26;MODE;T-shirt;1105675;931;261-DOUCE;OFF WHITE M;9;28;12;310;10
E26;ESSENTIELS;T-shirt;1106896;979;261-DARIA;NOIR M;7;28;7;185;0
E26;MODE;Haut boutonné;1105814;900;261-CUBA.F;MULTICO;6;27;9;204;0
E26;ESSENTIELS;Robe/ combinaison;99078;1144;241-ROSLI;PALE BANANA;8;27;7;188;-3
E26;MODE;Haut boutonné;1105786;931;261-OPON;OFF WHITE M;9;26;7;174;0
E26;MODE;Robe/ combinaison;1106507;900;261-RARAM.F;MULTICO;4;26;12;277;30
E26;MODE;T-shirt;1105834;979;261-DJOJO;NOIR M;19;26;5;140;0
E26;ESSENTIELS;Robe/ combinaison;97093;1152;241-ROSVAL;BLUE DEPTHS;14;25;9;225;0
E26;MODE;T-shirt;1105837;1144;261-DANANA;PALE BANANA;6;25;10;230;40
E26;ESSENTIELS;Haut boutonné;98945;978;242-OLAFI;IVOIRE M;52;24;10;232;0
E26;MODE;Pull;1105694;1219;261-MPIKA;ROSEE M;10;24;12;248;24
E26;ESSENTIELS;T-shirt;1106690;931;261-DGUAPA;OFF WHITE M;17;24;12;283;73
E26;ESSENTIELS;T-shirt;1105668;1204;261-DIVALI;MYRTILLE M;13;23;9;208;0
E26;MODE;T-shirt;1106741;931;261-DWONDER;OFF WHITE M;7;23;11;244;140
E26;MODE;Haut boutonné;1105793;979;261-OSAJE;NOIR M;8;22;11;180;66
E26;ESSENTIELS;Robe/ combinaison;1105824;979;261-PBELLE;NOIR M;10;22;9;205;0
E26;ESSENTIELS;Robe/ combinaison;1103015;987;251-RJOLIE;MARINE M;12;21;8;158;0
E26;MODE;Robe/ combinaison;1104847;1150;261-RTILA;AVENTURINE;13;21;7;143;0
E26;MODE;Robe/ combinaison;1105825;900;261-RDALA.F;MULTICO;8;21;11;218;0
E26;ESSENTIELS;T-shirt;101546;1168;251-DIDOA;ARGAN OIL;14;21;8;177;0
E26;MODE;Robe/ combinaison;1104860;1160;261-RDADOU;FIG;14;19;7;135;0
E26;ESSENTIELS;Robe/ combinaison;1104861;1023;261-RLUCY;MAGMA M;17;15;10;139;0
E26;ESSENTIELS;T-shirt;1105676;1199;261-DFESTON;SWEET DREAMS;9;15;12;180;0
E26;ESSENTIELS;Robe/ combinaison;1105784;1200;261-RISSOL;NAVAL ACADEMY;10;14;10;135;0
E26;ESSENTIELS;T-shirt;1102191;979;251-DELLA;NOIR M;8;14;10;128;0
E26;ESSENTIELS;Robe/ combinaison;1102139;1150;251-RISSAL;AVENTURINE;9;13;9;116;0
E26;ESSENTIELS;T-shirt;1104721;1191;261-DIANA;BUTTER M;16;13;11;144;0
E26;ESSENTIELS;T-shirt;1105763;1200;261-DNINO;NAVAL ACADEMY;7;13;11;136;16
E26;MODE;Ceinture;1105716;401;261-3FLEUR;DORE;12;12;8;96;0
E26;MODE;T-shirt;1106739;1204;261-DCIAO;MYRTILLE M;7;11;9;96;0
